Type,Username,Date,Text,Link,Reply_Count;;
POST,BangJarwoSopo7,Mon Feb 09 00:34:04 +0000 2026,@bumihijauserut @mikuroQ @Divpropam @polres_klaten @akbarfaizal68 @BocorAlusPol @CNNIndonesia @DivHumas_Polri @ini_polisi @himawansugeha95 @karniilyas @KemensetnegRI @ListyoSigitP @mprgoid @msaid_didu @prabowo @tvOneNews @poldajateng_ @KPK_RI @KejaksaanRI @setkabgoid @KSPgoid @yudiharahap46 @Metro_TV @KompasTV @SBYudhoyono @DPR_RI @BosPurwa @alvinlie21 @sharpandshark @detikcom @abu_waras @KataBewe @Gojekmilitan @Opposisi6890 @KRjogjadotcom @kumparan @detikjatengcom @tribunjogja @soloposdotcom @solopos @jawapos @suaramerdeka @Ary_PrasKe2 @JimlyAs @mohmahfudmd @ahriesonta @habiburokhman @03__nakula @alexandreanov Polda Jawa Tengah tidak dapat dipercaya lagi https://t.co/aK4di2biLm,https://x.com/BangJarwoSopo7/status/2020657413402288465,1;;
"POST,SeatizensMedia,Mon Feb 09 00:13:10 +0000 2026,""Media sosial kembali heboh setelah sebuah video amatir memperlihatkan sekelompok warga menganiaya seorang pria di Kabupaten Blora, Jawa Tengah. Video baca lengkapnya di https://t.co/inYqojx55N https://t.co/Ddo5bK1A6a"",https://x.com/SeatizensMedia/status/2020652156857291007,0";;
POST,Kangmadar,Sun Feb 08 03:41:21 +0000 2026,Polisi Kebumen Gagalkan Rencana Tawuran di Buayan Tujuh Pelajar dan Celurit Diamankan https://t.co/OoVYpR17Nj,https://x.com/Kangmadar/status/2020342158914642098,0;;
"POST,pekerjakampus,Sun Feb 08 03:18:41 +0000 2026,""@Halebopps @zanatul_91 @P2G_ID di lingkungan kampus, tahun lalu kami bikin diskusi semacam ini di jawa tengah dan depan pabrik di jakarta utara.  iya benar. depan pabrik. saat buruhnya mogok kerja.  diawasi belasan polisi dan tentara.  di pabrik.                              di kampus. https://t.co/z49SxjKw2P"",https://x.com/pekerjakampus/status/2020336455609102548,0";;
"POST,hana191858,Sat Feb 07 07:31:40 +0000 2026,""@bowokontlo Awas nnti di tangkap polisi atas dugaan UU ITE NAMA : AULIA FARAH KHAIRUNNISA WONOGIRI, 07-05-2003 ALAMAT : PUNDUNG, RT001 / RW010, NGADIROJO LOR, NGADIROJO, WONOGIRI, JAWA TENGAH 085524667469"",https://x.com/hana191858/status/2020037730949034131,0";;
"POST,grok,Sat Feb 07 07:18:34 +0000 2026,""@r_revaldo19 @mudahtertawa_ Ya, kejadian ini benar. Pada 4 Februari 2026 di Pati, Jawa Tengah, seorang anak (43) membakar rumah orang tuanya karena konflik keluarga, termasuk ayah membawa wanita lain ke rumah. Pelaku sudah menyerahkan diri ke polisi dan sedang diselidiki. Sumber: Kompas TV &amp";" Seputar Muria."",https://x.com/grok/status/2020034436851503174,0";
"POST,RadioElshinta,Fri Feb 06 12:10:00 +0000 2026,""Kasus pencurian dengan kekerasan terhadap seorang lansia di Desa Sidorejo, Comal, Pemalang, Jawa Tengah yang sempat viral di media sosial, akhirnya berhasil diungkap polisi. Dua pelaku yang merupakan saudara kandung ditangkap di rumahnya dan kini menjalani pemeriksaan intensif, https://t.co/1TtfkvRAWw"",https://x.com/RadioElshinta/status/2019745388484530445,0";;
"POST,KompasData,Fri Feb 06 09:16:54 +0000 2026,""Polisi meringkus Agus Ratmono (30), warga Boyolali, Jawa Tengah, yang membunuh dan mencuri sepeda motor tetanganya. Agus terlilit utang karena sering kalah judi.  #Kriminalitas #AdadiKompas  https://t.co/bX5MZNd1OQ"",https://x.com/KompasData/status/2019701826979860939,0";;
"POST,hariankompas,Fri Feb 06 09:12:35 +0000 2026,""Polisi meringkus Agus Ratmono (30), warga Boyolali, Jawa Tengah, yang membunuh dan mencuri sepeda motor tetanganya. Agus terlilit utang karena sering kalah judi.  #Kriminalitas #AdadiKompas  https://t.co/NPwcRmLSJL"",https://x.com/hariankompas/status/2019700740378288281,0";;
"POST,Pol85473Polsek,Thu Feb 05 12:23:46 +0000 2026,""Marak Modus Penipuan Tagihan ETLE Lewat Pesan Singkat, Dirlantas Polda Jateng : “Pemberitahuan Pelanggaran ETLE Hanya Dikirim Lewat Surat Fisik ke Alamat Rumah”*  *Warga Pedurungan Bagikan Pengalaman Mudahnya Urus Tilang ETLE Resmi di Kantor Polisi* https://t.co/B2HYaVF0pY"",https://x.com/Pol85473Polsek/status/2019386466988880366,0";;
"POST,polsekGNP,Thu Feb 05 12:12:34 +0000 2026,""*Marak Modus Penipuan Tagihan ETLE Lewat Pesan Singkat, Dirlantas Polda Jateng : “Pemberitahuan Pelanggaran ETLE Hanya Dikirim Lewat Surat Fisik ke Alamat Rumah”*  *Warga Pedurungan Bagikan Pengalaman Mudahnya Urus Tilang ETLE Resmi di Kantor Polisi* https://t.co/8b9BU7Cgss"",https://x.com/polsekGNP/status/2019383645346361490,0";;
"POST,earthwandere12,Thu Feb 05 10:14:18 +0000 2026,""Purworejo, Jawa Tengah, Pos Polisi depan SMK Negeri 1 Purworejo. 5 Februari 2026, Pukul 16.40 WIB. https://t.co/hUfmBUePew"",https://x.com/earthwandere12/status/2019353883060125746,0";;
POST,bambangsuling11,Thu Feb 05 06:22:14 +0000 2026,@Jateng_Twit Laporan resmi sudah terbit min  https://t.co/7k5E03Ip2e,https://x.com/bambangsuling11/status/2019295480933675356,0;;
"POST,UdinPetot410843,Wed Feb 04 19:54:11 +0000 2026,""Seorang personel Satuan Polisi Pamong Praja (Satpol PP) meninggal dunia usai melakukan evakuasi terhadap seorang ODGJ di Dukuh Krajan, Desa Krakal, Kecamatan Alian, Kabupaten Kebupen, Jawa Tengah, pada Senin (2/2/  #beritaviral #beritatiktok #beritahariini #infoterkini https://t.co/1eUv6HG1qy"",https://x.com/UdinPetot410843/status/2019137429035462681,0";;
"POST,NusantaraB16913,Wed Feb 04 16:39:51 +0000 2026,""POLDA Jawa Tengah mengungkap kasus penyalahgunaan distribusi pupuk bersubsidi yang merugikan negara hingga Rp4,3 miliar. Dalam pengungkapan tersebut, polisi mengamankan tiga tersangka #PoldaJateng #Mafia #PupukBersubsidi #het #petani #kerugiannegara  https://t.co/mMubWzwhKZ"",https://x.com/NusantaraB16913/status/2019088522376864245,0";;
POST,KompasData,Wed Feb 04 09:01:55 +0000 2026,Polisi ungkap jaringan penjualan dan distribusi pupuk bersubsidi di wilayah Jawa Tengah.  #Kriminalitas #AdadiKompas  https://t.co/Uu44nIyiGw,https://x.com/KompasData/status/2018973281013891472,0;;
POST,hariankompas,Wed Feb 04 08:57:20 +0000 2026,Polisi ungkap jaringan penjualan dan distribusi pupuk bersubsidi di wilayah Jawa Tengah.  #Kriminalitas #AdadiKompas  https://t.co/21ut1yMEJL,https://x.com/hariankompas/status/2018972128331055589,0;;
POST,monitorind,Wed Feb 04 07:01:18 +0000 2026,KEADILAN UNTUK MINTEL: PENSIUNAN DI BLORA DIPERIKSA POLISI USAI TENDANG KUCING HINGGA MATI 🐈💔⚖️  Update hukum dari Jawa Tengah (3/2/2026). Kasus penganiayaan kucing bernama Mintel kini masuk tahap penyidikan di Polres Blora. #fyp #viral #BeritaTerkini #BeritaTerbaru #fypdong https://t.co/OjZRP0GAf4,https://x.com/monitorind/status/2018942928442544357,0;;
"POST,RPutriguna79142,Tue Feb 03 23:43:16 +0000 2026,""Anggota Satpol PPKebumen Tewas Saat Evakuasi ODGJ.Seorang anggota Satuan Polisi Pamong Praja di Kabupaten Kebumen, Jawa Tengah, tewas saat menjalankan tugas evakuasi orang dengan gangguan jiwa pada Senin siang, 2 Februari 2026.  #kebumen #SatpolPP #odgj https://t.co/e6iS4MN0wa"",https://x.com/RPutriguna79142/status/2018832690418733098,1";;
"POST,RonaJateng5,Tue Feb 03 16:01:18 +0000 2026,""Pria Penendang Kucing di Blora Diperiksa Polisi, Advokat Sekaligus Mantan ASN yang Kini Terancam 1,5 Tahun Penjara https://t.co/MpT8iebqxO"",https://x.com/RonaJateng5/status/2018716435086803131,0";;
"POST,tvOneNews,Tue Feb 03 13:42:33 +0000 2026,""Polisi mengungkap motif pria berinisial PJ (60) menendang kucing hingga mati di Blora, Jawa Tengah.   Simak selengkapnya di https://t.co/u6PZlm8Uki #HardNews_Viral #NewsOne #CariBeritaditvOne #ViralJateng #Kucing #PensiunanASN #Kriminal #FO01 https://t.co/ZGbOMgqC0T"",https://x.com/tvOneNews/status/2018681515711095064,4";;
"POST,Jateng_Twit,Tue Feb 03 09:02:56 +0000 2026,""Innalilahi wa innalilahi rojiun  Seorang anggota Satuan Polisi Pamong Praja (Satpol PP) di Kebumen, Jawa Tengah dibacok oleh orang dengan gangguan jiwa (ODGJ) saat hendak melakukan evakuasi. Korban sempat dilarikan ke rumah sakit namun sayang nyawanya tak tertolong. Korban adalah https://t.co/p3H6XuapEb"",https://x.com/Jateng_Twit/status/2018611147017208154,3";;
"POST,diansantanag,Tue Feb 03 06:41:04 +0000 2026,""@somexthread Jawa Tengah emang Agak Laen..  Dari awal di kasih tau jngan pilih Polisi. Polisi makin sesuka hati kan,,. Klok kayak gitu protes Skrang"",https://x.com/diansantanag/status/2018575447978893583,0";;
"POST,mediaindonesia,Tue Feb 03 06:38:06 +0000 2026,""Viral Tendang Kucing di Blora, Pelaku Diperiksa Polisi  Sempat viral rekaman video yang beredar di media sosial ketika laki-laki berbaju oranye tiba-tiba menendang seekor kucing yang sedang bersama pemiliknya di Lapangan Kridosono, Blora, Jawa Tengah. Sang pemilik kucing pun https://t.co/ylncwUnl35"",https://x.com/mediaindonesia/status/2018574700281213232,0";;
"POST,polsek_sebulu,Tue Feb 03 04:01:37 +0000 2026,""Rumah Warga di Muara Jawa Terbakar, Polisi dan Damkar Sigap Lakukan Penanganan  Kukar – Sebuah rumah milik warga di Jalan Sindang Jaya RT 09, Kelurahan Muara Jawa Tengah, Kecamatan Muara Jawa, Kabupaten Kutai Kartanegara, dilaporkan mengalami kebakaran pada Minggu (1/2/2026). https://t.co/9IB1l2rXI1"",https://x.com/polsek_sebulu/status/2018535320560759256,0";;
"POST,tarja45601,Tue Feb 03 03:09:35 +0000 2026,""Polsek Geyer Polres Grobogan  Polda Jateng.  """"POLISI SAHABAT ANAK""""  Kunjungan TK KB AISYIYAH di Polsek Geyer, Selasa (3/2/2026).  @poldajateng @polres_grobogan @kapolresgrobogan #bhabinkamtibmas #polriuntukmasyarakat https://t.co/8793TuiMDj"",https://x.com/tarja45601/status/2018522224224051672,0";;
"POST,kumparan,Tue Feb 03 02:47:35 +0000 2026,""Seorang anggota Satuan Polisi Pamong Praja (Satpol PP) tewas saat berusaha mengevakuasi orang dengan gangguan jiwa (ODGJ) di Kebumen, Jawa Tengah. Korban dibacok oleh ODGJ tersebut ketika proses evakuasi berlangsung.  Peristiwa itu terjadi pada Senin (2/2) sekitar pukul 14.00 WIB https://t.co/lnorPNEwH2"",https://x.com/kumparan/status/2018516687440826498,13";;
